"zOTU" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"105" "f67106d07b885d4d811daca7688633ed" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__oris"
"106" "689a7bbbb932d7be2fa6b6f63dd0870e" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Alloscardovia" "s__omnicolens"
"107" "0548b11b6de90319756016a02baab332" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Aggregatibacter" "(s__aphrophilus/s__paraphrophilus)"
"108" "0f9638d2552efe175d8e971e60bca94f" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__salivae"
"109" "283fbda88937bcb5281d9d201f12780e" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"110" "48f0d876ee2f7c66d30de34394361f0b" "k__Bacteria" "p__Proteobacteria" "c__Betaproteobacteria" "o__Neisseriales" "f__Neisseriaceae" "g__Neisseria" "(s__flavescens/s__subflava)"
"111" "3a44838b7ae01d12d6931bd50e0479c5" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__sp._oral_taxon_309"
"112" "0f31a57c7a452ee03b5f5bf4a2d960cf" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"113" "0f95400b39f88d7cb095eaae9ca7891a" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" "(s__dentisani/s__infantis/s__mitis/s__oralis/s__sp._oral_taxon_058/s__sp._oral_taxon_061/s__sp._oral_taxon_064/s__sp._oral_taxon_070/s__sp._oral_taxon_423/s__sp._oral_taxon_431/s__tigurinus)"
"114" "1d85c80d0464f202c9ca697f8e813f9b" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" ""
"115" "7f862b96f58f9f2a310e849bd3a65069" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__denticola"
"116" "184e36e73aea65ae969879632f3644b2" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__sp._oral_taxon_305"
"117" "4515e9b5d45c796c7f02cad4ac9ae090" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__pallens"
"118" "e502ebea2a54a6f839d310d6d57e7d47" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" "s__nucleatum_subsp._animalis"
"119" "86e4497c054a30a69e80832fa1dfd876" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"120" "e7cfd084265c4df4856ca07b1c9b24ee" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" "s__mutans"
"121" "c014b3c483e350bb66d509b6a360c015" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"122" "2caf2453f7c312610926a8f735e90a07" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" ""
"123" "2f3da68606254b35e1d68615524c6815" "k__Bacteria" "p__Bacteroidetes" "c__Flavobacteriia" "o__Flavobacteriales" "f__Flavobacteriaceae" "g__Capnocytophaga" "s__gingivalis"
"124" "ff48ea2b9d30c737b53aeb9841179d57" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Peptoniphilaceae" "g__Parvimonas" ""
"125" "e7868b781aafd2012562352d044f8cff" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__aeria"
"126" "ce54fd570e2891bb1c24b6b985436151" "k__Bacteria" "p__Bacteroidetes" "c__Flavobacteriia" "o__Flavobacteriales" "f__Flavobacteriaceae" "g__Capnocytophaga" "s__sputigena"
"127" "5579ec31e1f25646f1390e8497284aa4" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" "s__sp._oral_taxon_215"
"128" "651895d0c2c7a66a35b3a6a7d2ee15e5" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" ""
"129" "6e3e062d65c1b047950a2492118eb70b" "k__Bacteria" "p__SR1" "c__SR1_[C-1]" "o__SR1_[O-1]" "f__SR1_[F-1]" "g__SR1_[G-1]" "s__sp._oral_taxon_875"
"130" "a4eac9fcad4c5f9555c01a06d10b6fc6" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Peptococcaceae" "g__Peptococcus" "(s__sp._oral_taxon_167/s__sp._oral_taxon_168)"
"131" "01344f29aa14cf1d706092a4e7721018" "k__Bacteria" "p__Proteobacteria" "c__Betaproteobacteria" "o__Neisseriales" "f__Neisseriaceae" "g__Kingella" "s__oralis"
